pc	value
PC1	0.13328
PC2	0.09029
PC3	0.04518
PC4	0.0413
PC5	0.03597
PC6	0.0324
PC7	0.03175
PC8	0.02984
PC9	0.02762
PC10	0.02736
PC11	0.02543
PC12	0.02501
PC13	0.02355
PC14	0.02228
PC15	0.02097
PC16	0.01926
PC17	0.01878
PC18	0.01779
PC19	0.01713
PC20	0.01681
PC21	0.01564
PC22	0.01503
PC23	0.01426
PC24	0.01353
PC25	0.01314
PC26	0.0124
PC27	0.01218
PC28	0.01192
PC29	0.01115
PC30	0.01053
PC31	0.01018
PC32	0.00963
PC33	0.00935
PC34	0.00867
PC35	0.00806
PC36	0.00768
PC37	0.00739
PC38	0.00698
PC39	0.00674
PC40	0.00637
PC41	0.00592
PC42	0.00557
PC43	0.00547
PC44	0.0052
PC45	0.00481
PC46	0.00438
PC47	0.00421
PC48	0.00396
PC49	0.00372
PC50	0.00351
PC51	0.00346
PC52	0.00312
PC53	0.00289
PC54	0.00268
PC55	0.00254
PC56	0.00247
PC57	0.00231
PC58	0.0022
PC59	0.00202
PC60	0.00185
PC61	0.00175
PC62	0.00166
PC63	0.00155
PC64	0.0014
PC65	0.00129
PC66	0.00111
PC67	0.00101
PC68	0.00096
PC69	0.00088
PC70	0.00066
PC71	0.00056
PC72	0.00054
PC73	0.00044
PC74	0.00036
PC75	0.00026
PC76	0.00023
PC77	0.00018
